"Gene","L_acetotolerans_BM-LA14527","L_acetotolerans_CN247","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"L_sp_UBA10990_00408","","","24","43","81","858","22.857142857142858","95.22752497225305","5.912144702842378","5.593306329438704e-09","0.0001398606247676148","1.2866662812108076e-07"
"L_sp_UBA11204_01827","","","24","43","81","858","22.857142857142858","95.22752497225305","5.912144702842378","5.593306329438704e-09","0.0001398606247676148","1.2866662812108076e-07"
"L_helveticus_UC1285_00588","1020_g_693","1020_g_1856","69","323","36","578","65.71428571428571","64.15094339622641","3.4298245614035086","5.607762716059927e-09","0.00014022210671507847","1.287899806350397e-07"
"L_kullabergensis_ESL0186_01114","","","23","39","82","862","21.904761904761905","95.67147613762486","6.199499687304566","5.608969762509827e-09","0.00014025228891155822","1.287899806350397e-07"
"L_gasseri_EJL_02028","","","43","140","62","761","40.95238095238095","84.46170921198669","3.769930875576037","5.663420418907122e-09","0.0001416138275747726","1.2992094272914917e-07"
"L_mulieris_MHKL_MAG_00238_00108/0.1","","","5","254","100","647","4.761904761904762","71.80910099889012","0.12736220472440946","5.789430091788573e-09","0.00014476469944517325","1.3268991699832562e-07"
"L_sp_F5_bin5_01211","1020_g_786","1020_g_2977","103","696","2","205","98.09523809523809","22.752497225305216","15.16882183908046","5.8125861045924845e-09","0.00014534371554533507","1.3309864060928119e-07"
"L_sp_M0398_00033/4","1020_g_1430","1020_g_2293","2","204","103","697","1.9047619047619049","77.35849056603774","0.06634304207119741","5.897591740566588e-09","0.00014746928147286754","1.3492157499804898e-07"
"L_crispatus_MHKL_MAG_00278_01431/0.3","1020_g_664","1020_g_3041","27","56","78","845","25.71428571428571","93.78468368479467","5.223214285714286","5.974248317747684e-09","0.00014938607918528083","1.3655034660446145e-07"
"L_ultunensis_Kx293C1_01089/2","","","2","207","103","694","1.9047619047619049","77.02552719200888","0.06510013601613433","6.047193556120097e-09","0.000151210074870783","1.3809139257605753e-07"
"L_hominis_MGBC122240_00169","1020_g_346","1020_g_2498","84","456","21","445","80.0","49.38956714761376","3.9035087719298245","6.074336838170264e-09","0.00015188879263844745","1.3858466481610168e-07"
"L_helveticus_DLBSA202_01795","","","20","28","85","873","19.047619047619047","96.89234184239733","7.336134453781512","6.104056616133616e-09","0.00015263193568642108","1.3913576635042942e-07"
"L_crispatus_D31t1_170403_E4_01103","","","1","183","104","718","0.9523809523809524","79.68923418423974","0.03772593526691887","6.298537675807727e-09","0.00015749493458357223","1.4343800963895467e-07"
"L_helveticus_AHU1049_01645/0.1","","","14","10","91","891","13.333333333333334","98.89012208657047","13.707692307692307","6.4413609241957845e-09","0.0001610662299095156","1.4655707908054196e-07"
"L_crispatus_D31t1_170403_E4_00972/12","","","27","501","78","400","25.71428571428571","44.39511653718091","0.2763703362505758","6.475642807464934e-09","0.0001619234484006607","1.4720313490969153e-07"
"L_delbrueckii_subsp_bulgaricus_VHProbi_R03_01792","","","54","210","51","691","51.42857142857142","76.69256381798002","3.484033613445378","6.522685080608948e-09","0.00016309974044062674","1.4813782056369368e-07"
"L_delbrueckii_subsp_sunkii_CIRM_BIA_266_01924","","","29","517","76","384","27.61904761904762","42.61931187569367","0.2834164715463708","6.563646659923733e-09","0.00016412398473139293","1.4893283550943098e-07"
"L_delbrueckii_ME-804_01147","1020_g_625","1020_g_2769","92","544","13","357","87.61904761904762","39.62264150943396","4.644230769230769","6.760906492239901e-09","0.00016905646683845873","1.5326968888346214e-07"
"L_kefiranofaciens_subsp_kefirgranum_DSM_10550_00158","","","66","301","39","600","62.857142857142854","66.59267480577137","3.3733708152312802","7.149897390118696e-09","0.000178783184239918","1.619412900723895e-07"
"L_hamsteri_DSM_5661_00740","","","78","403","27","498","74.28571428571429","55.27192008879024","3.5698924731182795","7.3342319027838755e-09","0.0001833924687291108","1.6596603504896905e-07"
"L_gasseri_HL75_00011","1020_g_47","1020_g_1467","105","742","0","159","100.0","17.647058823529413","inf","7.463678203181734e-09","0.00018662927347055925","1.687425619082814e-07"
"L_gasseri_MHKL_MAG_00222_01158","1020_g_46","1020_g_1466","105","741","0","160","100.0","17.758046614872363","inf","7.51509477443217e-09","0.00018791494483467642","1.694453966047578e-07"
